model_name                                                     model_display_name
onboarding.progress.step                                       Onboarding Progress Step Tracker
onboarding.progress                                            Onboarding Progress Tracker
onboarding.onboarding.step                                     Onboarding Step
appointment.slot                                               Online Appointment: Time Slot
account.financial.year.op                                      Opening Balance of Financial Year
crm.lost.reason                                                Opp. Lost Reason
sign.item.option                                               Option of a selection Field
mail.mail                                                      Outgoing Mails
sms.sms                                                        Outgoing SMS
stock.quant.package                                            Packages
website.page                                                   Page
report.paperformat                                             Paper Format Config
account.partial.reconcile                                      Partial Reconcile
res.partner.autocomplete.sync                                  Partner Autocomplete Sync
account.partner.ledger.report.handler                          Partner Ledger Custom Handler
res.partner.category                                           Partner Tags
res.partner.title                                              Partner Title
account.reconcile.model.partner.mapping                        Partner mapping for reconciliation models
mail.resend.partner                                            Partner with additional information for mail resend
res.users.identitycheck                                        Password Check Wizard
payment.capture.wizard                                         Payment Capture Wizard
payment.method                                                 Payment Method
account.payment.method.line                                    Payment Methods
account.payment.method                                         Payment Methods
payment.provider                                               Payment Provider
payment.refund.wizard                                          Payment Refund Wizard
account.payment.term                                           Payment Terms
account.payment.term.line                                      Payment Terms Line
payment.token                                                  Payment Token
payment.transaction                                            Payment Transaction
payment.provider.onboarding.wizard                             Payment provider onboarding wizard
crm.iap.lead.role                                              People Role
crm.iap.lead.seniority                                         People Seniority
project.task.stage.personal                                    Personal Task Stage
rental.order.wizard                                            Pick-up/Return products
stock.picking.type                                             Picking Type
hr.plan.wizard                                                 Plan Wizard
hr.plan.activity.type                                          Plan activity type
planning.analysis.report                                       Planning Analysis Report
planning.recurrency                                            Planning Recurrence
planning.role                                                  Planning Role
planning.slot                                                  Planning Shift
pos.category                                                   Point of Sale Category
pos.config                                                     Point of Sale Configuration
pos.daily.sales.reports.wizard                                 Point of Sale Daily Report
report.point_of_sale.report_saledetails                        Point of Sale Details
pos.details.wizard                                             Point of Sale Details Report
report.point_of_sale.report_invoice                            Point of Sale Invoice Report
pos.make.payment                                               Point of Sale Make Payment Wizard
pos.order.line                                                 Point of Sale Order Lines
pos.order                                                      Point of Sale Orders
report.pos.order                                               Point of Sale Orders Report
pos.payment.method                                             Point of Sale Payment Methods
pos.payment                                                    Point of Sale Payments
pos.printer                                                    Point of Sale Printer
pos_preparation_display.orderline                              Point of Sale preparation order line
pos_preparation_display.stage                                  Point of Sale preparation stage
portal.mixin                                                   Portal Mixin
portal.share                                                   Portal Sharing
portal.wizard.user                                             Portal User Config
pos_preparation_display.display                                Preparation display
pos_preparation_display.order                                  Preparation orders
product.pricelist                                              Pricelist
report.product.report_pricelist                                Pricelist Report
